,cellid
2282,5075
993,5176
964,4877
526,4479
1176,4979
140,4673
1829,4482
1163,4876
1316,4379
2142,4675
41,4674
428,4481
2336,4579
400,4273
1096,5179
2386,5079
225,4478
1383,5076
534,4577
1429,4482
2239,4582
2204,4277
1494,5177
1712,4375
2267,4880
938,4581
921,4474
86,5079
1767,4880
500,4273
1972,4975
1315,4378
1619,4382
1215,4378
1430,4573
1183,5076
1336,4579
1905,4278
917,4380
2090,5173
1228,4481
648,4681
2130,4573
1950,4773
467,4880
401,4274
1099,5182
1909,4282
1851,4774
1880,5073
841,4674
396,5179
474,4977
1477,4980
1948,4681
2422,4475
1888,5081
26,4479
855,4778
2411,4374
635,4578
1585,5078
2408,4281
2229,4482
2162,4875
2071,4974
902,4275
1451,4774
941,4674
2218,4381
1146,4679
1401,4274
2036,4579
792,5175
1337,4580
1824,4477
1442,4675
793,5176
1338,4581
2416,4379
1409,4282
2290,5173
13,4376
2117,4380
1563,4876
233,4576
1811,4374
384,5077
1310,4373
1423,4476
929,4482
1519,4382
1923,4476
1471,4974
985,5078
1654,4777
1631,4574
1420,4473
399,5182
197,5180
725,4478
2047,4680
767,4880
2037,4580
